Title,Artist Display Name,Artist Display Bio,Culture,Department,Classification,Object Date,Link Resource,image_link
Vase,George E. Ohr|Biloxi Art Pottery,"American, Biloxi, Mississippi 1857–1918  Biloxi, Mississippi|1883–1906",American,Modern and Contemporary Art,Ceramics,1894–1906,http://www.metmuseum.org/art/collection/search/9367,https://collectionapi.metmuseum.org/api/collection/v1/iiif/9367/46510/main-image
Incised bowl with fox motif,,,Paracas,"Arts of Africa, Oceania, and the Americas",Ceramics-Vessels,7th–5th century BCE,http://www.metmuseum.org/art/collection/search/308306,https://collectionapi.metmuseum.org/api/collection/v1/iiif/308306/676118/main-image
Bowl with Fruit Designs,,,Nasca,"Arts of Africa, Oceania, and the Americas",Ceramics-Vessels,1st–6th century,http://www.metmuseum.org/art/collection/search/308581,https://collectionapi.metmuseum.org/api/collection/v1/iiif/308581/671046/main-image
Bottle with Incised Designs,,,Paracas,"Arts of Africa, Oceania, and the Americas",Ceramics-Vessels,5th–4th century BCE,http://www.metmuseum.org/art/collection/search/308584,https://collectionapi.metmuseum.org/api/collection/v1/iiif/308584/671051/main-image
"Bowl, Incised Hands",,,Veracruz,"Arts of Africa, Oceania, and the Americas",Ceramics,7th–9th century,http://www.metmuseum.org/art/collection/search/318442,https://collectionapi.metmuseum.org/api/collection/v1/iiif/318442/1631109/main-image
Plate,Juanita Gonzalez,"American, 1903–1935",American,Modern and Contemporary Art,Ceramics-Pottery,ca. 1935,http://www.metmuseum.org/art/collection/search/487917,https://collectionapi.metmuseum.org/api/collection/v1/iiif/487917/2269568/restricted
Bowl with a metalworking scene,Nasca artist(s), ,Nasca,"Arts of Africa, Oceania, and the Americas",Ceramics-Vessels,100–300 CE,http://www.metmuseum.org/art/collection/search/656359,https://collectionapi.metmuseum.org/api/collection/v1/iiif/656359/1455112/main-image
Vessel with mythological scene,,,Maya,"Arts of Africa, Oceania, and the Americas",Ceramics-Vessels,7th–8th century,http://www.metmuseum.org/art/collection/search/662967,https://collectionapi.metmuseum.org/api/collection/v1/iiif/662967/1470181/main-image
Tripod plate with mythological scene,,,Maya,"Arts of Africa, Oceania, and the Americas",Ceramics,7th–8th century,http://www.metmuseum.org/art/collection/search/718242,https://collectionapi.metmuseum.org/api/collection/v1/iiif/718242/2059514/main-image
Vessel with water bird and hieroglyphic text,,,Maya,"Arts of Africa, Oceania, and the Americas",Ceramics-Vessels,600–900,http://www.metmuseum.org/art/collection/search/761272,https://collectionapi.metmuseum.org/api/collection/v1/iiif/761272/1808574/main-image
Bowl with Resist Design,,,Proto-Taíno (Early Ostionoid),"Arts of Africa, Oceania, and the Americas",Ceramics-Vessels,7th–10th century,http://www.metmuseum.org/art/collection/search/820957,https://collectionapi.metmuseum.org/api/collection/v1/iiif/820957/1932579/main-image
Geometric Polychrome Bowl,,,Ancestral Puebloan (Four Mile),"Arts of Africa, Oceania, and the Americas",Ceramics-Vessels,14th–15th century,http://www.metmuseum.org/art/collection/search/833899,https://collectionapi.metmuseum.org/api/collection/v1/iiif/833899/2105460/main-image
Water Jar (Olla),,,Ancestral Puebloan (Kayenta Black-on-White),"Arts of Africa, Oceania, and the Americas",Ceramics-Vessels,13th–14th century,http://www.metmuseum.org/art/collection/search/833900,https://collectionapi.metmuseum.org/api/collection/v1/iiif/833900/2105035/main-image
Pitcher,,,Ancestral Puebloan (Cibola),"Arts of Africa, Oceania, and the Americas",Ceramics-Vessels,12th–13th century,http://www.metmuseum.org/art/collection/search/833901,https://collectionapi.metmuseum.org/api/collection/v1/iiif/833901/2105039/main-image
Polychrome Vessel,,,Ancestral Puebloan (Casas Grandes),"Arts of Africa, Oceania, and the Americas",Ceramics-Vessels,14th–15th century,http://www.metmuseum.org/art/collection/search/833902,https://collectionapi.metmuseum.org/api/collection/v1/iiif/833902/2105295/main-image
Bowl,,,Ancestral Puebloan (Salado),"Arts of Africa, Oceania, and the Americas",Ceramics-Vessels,13th–15th century,http://www.metmuseum.org/art/collection/search/833903,https://collectionapi.metmuseum.org/api/collection/v1/iiif/833903/2105574/main-image
Vessel (Olla),,,Ancestral Puebloan (Jeddito ),"Arts of Africa, Oceania, and the Americas",Ceramics-Vessels,14th century,http://www.metmuseum.org/art/collection/search/833904,https://collectionapi.metmuseum.org/api/collection/v1/iiif/833904/2105037/main-image
Bowl with Abstract Birds,,,Ancestral Puebloan (Jeddito ),"Arts of Africa, Oceania, and the Americas",Ceramics-Vessels,14th century,http://www.metmuseum.org/art/collection/search/833905,https://collectionapi.metmuseum.org/api/collection/v1/iiif/833905/2105465/main-image
Polychrome Bottle,,,Mississippian (Ancestral Quapaw),"Arts of Africa, Oceania, and the Americas",Ceramics-Vessels,14th–15th century,http://www.metmuseum.org/art/collection/search/833906,https://collectionapi.metmuseum.org/api/collection/v1/iiif/833906/2105041/main-image
Bottle with Incised Snake Pattern,,,Ancestral Caddoan,"Arts of Africa, Oceania, and the Americas",Ceramics-Vessels,15th century,http://www.metmuseum.org/art/collection/search/833907,https://collectionapi.metmuseum.org/api/collection/v1/iiif/833907/2105115/main-image
Engraved Bowl,,,Ancestral Caddoan,"Arts of Africa, Oceania, and the Americas",Ceramics-Vessels,15th century,http://www.metmuseum.org/art/collection/search/833908,https://collectionapi.metmuseum.org/api/collection/v1/iiif/833908/2105579/main-image
Engraved Bottle,,,Ancestral Caddoan,"Arts of Africa, Oceania, and the Americas",Ceramics-Vessels,15th century,http://www.metmuseum.org/art/collection/search/833909,https://collectionapi.metmuseum.org/api/collection/v1/iiif/833909/2105033/main-image
Incised Vessel,,,Mississippian (Ancestral Quapaw),"Arts of Africa, Oceania, and the Americas",Ceramics-Vessels,13th–14th century,http://www.metmuseum.org/art/collection/search/833910,https://collectionapi.metmuseum.org/api/collection/v1/iiif/833910/2105113/main-image
